RC101

VEHICLE
NUMBER     CAPACITY
    25         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0       1236          0   
    1      25         85         20        145        416         10   
    2      22         75         30        166        437         10   
    3      22         85         10        120        390         10   
    4      20         80         40         96        366         10   
    5      20         85         20         86        356         10   
    6      18         75         20        110        380         10   
    7      15         75         20        110        380         10   
    8      15         80         10        134        404         10   
    9      30         50         10         14        461         10   
   10      30         52         20        103        373         10   
   11      28         52         10        103        373         10   
   12      28         55         10        103        373         10   
   13      25         50         10         43        313         10   
   14      25         52         40         43        313         10   
   15      25         55         10         89        359         10   
   16      23         52         20         56        326         10   
   17      23         55         10         62        332         10   
   18      20         50         10         27        297         10   
   19      20         55         10         46        316         10   
   20      10         35         20         76        346         10   
   21      10         40         30         76        346         10   
   22       8         40         40         76        346         10   
   23       8         45         20        126        396         10   
   24       5         35         10         62        543         10   
   25       5         40         10        141        411         10   
   26       2         40         20        143        413         10   
   27       0         40         20        141        411         10   
   28       0         45         20         34        304         10   
   29      35         30         10         25        295         10   
   30      35         32         10         60        331         10   
   31      33         32         20        143        413         10   
   32      33         35         10         43        313         10   
   33      32         35         20         95        365         10   
   34      30         30         10         60        331         10   
   35      30         32         30         62        332         10   
   36      30         35         10        122        392         10   
   37      28         30         10         62        332         10   
   38      28         35         10         62        332         10   
   39      25         35         10         55        325         10   
   40      20         30         30         52        322         10   
   41      20         32         10         52        322         10   
   42      36         47         50         17        370         10   
   43      35         47         20         17        370         10   
   44      35         50         10         34        304         10   
   45      35         52         20         56        326         10   
   46      32         47         20        103        373         10   
   47      32         50         10         77        350         10   
   48      30         47         10         69        339         10   
   49      28         50         10         94        364         10   
   50      57         47         10         37        307         10   
   51      56         42         10         46        316         10   
   52      55         47         20         37        307         10   
   53      55         50         10         66        336         10   
   54      55         52         10         66        336         10   
   55      52         47         20        143        413         10   
   56      52         50         10         99        369         10   
   57      50         47         20         95        365         10   
   58      50         50         10         54        324         10   
   59      48         47         10        126        396         10   
   60      47         47         10        114        384         10   
   61      45         52         10         86        356         10   
   62      45         55         20         64        334         10   
   63      42         47         10         91        361         10   
   64      42         50         10         91        361         10   
   65      40         50         10        103        373         10   
   66      40         55         10        103        373         10   
   67      38         50         10        134        404         10   
   68      38         55         10        100        371         10   
   69      55         60         20         42        314         10   
   70      52         58         10        102        372         10   
   71      50         60         10        105        375         10   
   72      48         55         10        113        383         10   
   73      47         52         10        113        383         10   
   74      47         55         10        126        396         10   
   75      45         50         10        128        398         10   
   76      42         52         10        141        411         10   
   77      42         55         20         28        298         10   
   78      40         57         10        119        389         10   
   79      40         60         10        127        397         10   
   80      38         57         10        134        404         10   
   81      35         60         20        108        378         10   
   82      35         66         10         81        351         10   
   83      33         60         10        115        385         10   
   84      33         62         10        105        375         10   
   85      32         60         10        105        375         10   
   86      30         60         10        110        380         10   
   87      25         62         10         90        442         10   
   88      25         65         10         96        366         10   
   89      25         67         10         83        353         10   
   90      22         62         20        103        373         10   
   91      22         65         10        106        376         10   
   92      20         62         10        120        390         10   
   93      20         65         10         84        354         10   
   94      20         67         20        120        390         10   
   95      18         65         20        134        404         10   
   96      15         65         10        100        371         10   
   97      15         67         10        108        378         10   
   98      10         65         20         90        360         10   
   99      10         67         10        118        388         10   
  100      45         35         10         86        356         10
