config_id,size,seed,total_distance,vehicle_count,feasible,convergence_iter,wall_time_sec
C1,25,0,229.16697122606112,3,True,34,3.0112568750046194
C1,25,2,228.49491494265567,3,True,112,3.0260512500535697
C1,25,1,230.8183302148227,3,True,53,3.040488832979463
C2,25,1,261.69840586246397,3,True,22,3.0851446670712903
C2,25,0,241.8103015460046,3,True,179,3.1255076250527054
C1,50,2,394.80963598295654,5,True,95,8.814286999986507
C1,50,1,367.09716089845284,5,True,164,8.936765833990648
C1,50,0,386.4370619517866,5,True,133,9.07112020906061
C2,25,2,262.0582921290061,3,True,8,3.1287609999999404
C2,50,0,382.60973277558435,5,True,83,9.847308791941032
C2,50,2,381.3464647525549,5,True,171,10.146267542033456
C2,50,1,383.4239360206599,5,True,197,10.373706082929857
C3,25,0,227.72104342204307,3,True,18,3.299073333037086
C3,25,1,228.67257956229233,3,True,28,3.444059915957041
C3,25,2,227.38257102288452,3,True,26,3.233987084007822
C3,50,0,384.07024801806057,5,True,29,7.907801374909468
C3,50,1,404.3488057248523,5,True,24,8.391560917021707
C1,100,0,605.048119567138,8,True,122,34.676220417022705
C1,100,1,625.2520072217843,8,True,101,34.7930202500429
C1,100,2,612.6384359058849,8,True,126,34.93676462501753
C3,50,2,407.52859233425465,5,True,27,8.286413833033293
C4,25,0,239.00198678350404,3,True,29,3.0795501659158617
C4,25,1,236.24008511277384,3,True,54,3.2669164169346914
C2,100,0,597.1703424928263,8,True,103,34.391221667057835
C4,25,2,230.5436214312534,3,True,27,2.8688020419795066
C2,100,1,605.1865774600269,8,True,29,35.11862224992365
C2,100,2,593.738905053736,8,True,68,33.6511736670509
C4,50,0,389.3219320010591,5,True,29,8.763680042000487
C4,50,1,403.02609625687177,5,True,10,8.93806683307048
C4,50,2,407.46301870660693,5,True,19,8.63854650000576
C3,100,0,577.2255947510392,8,True,37,30.55353604105767
C3,100,1,584.7005430863146,8,True,34,30.292102916981094
C3,100,2,617.7181019115061,8,True,24,30.510595040977933
C4,100,0,604.6672634275795,8,True,23,26.906143500003964
C4,100,1,623.5995115582076,8,True,16,24.25113912508823
C4,100,2,607.4799721758578,8,True,21,23.376963415998034
